ID{ISBN{SIGLA INVENTARIO{NUMERO INVENTARIO{CODICE{TITOLO{AUTORE{GENERE{EDITORE{EDIZIONE{COLLANA{SCAFFALE{FORMATO{NOTE FORMATO{PAGINE{DATA CATALOGAZIONE{NOVITA{COSTO{PROVENIENZA{LINGUA ORIGINALE{TITOLO ORIGINALE{TRADUTTORE{TESTO FRONTE{LINGUA{NAZIONE{NOTE{ALIENATO{VISIBILE{DATA MODIFICA{ID SOG MODIFICA{ID ALIENAZIONE{ID CATALOGAZIONE{DATA ALIENAZIONE{ID SOG MODIFICA
5000{{P{05000{808.387 ASI{./images/catalogazioni/5000.jpg{Il sole nudo{Asimov Isaac{Gialli - Thriller - Fantascienza{Mondadori{Milano - 1986{Bestsellers{{19,5 x 12,5{{241{2009-08-05{N{6.71{{N{The naket sun{Giuseppe Lippiu{N{{Russia{{N{Y{2017-08-02 00:00:00{0{{{{
5053{{P{05053{R 808.899 PAR{	./images/icone/icona-catalogazione.png{Giochi di Pace{Parolini Marsilio - Balzaretti Silvia{Giochi e divertimenti al coperto{San Paolo{Milano - 2005{Jam - Le castagne{{18 x 12,5{{37{2010-01-20{N{5.00{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5054{{P{05054{R 808.899 KOT{	./images/icone/icona-catalogazione.png{E.T. l'extra-terrestre{Kotzwinkle William{Letture per ragazzi{CDE{Milano - 1982{{{21,5 x 15{{266{2010-01-22{N{{{N{E.T. The Extra-Terrestrial in is adventure on earth{Tullio Dobner{N{{U.S.A.{{N{Y{2017-08-02 00:00:00{0{{{{
5055{{P{05055{R 808.899 QUA{	./images/icone/icona-catalogazione.png{Vacanze pazze{Quaresima Luigino{Letture per elementari{Raffaello{Ancona - 2002{Il mulino a vento - serie gialla{{19 x 13{{31{2010-01-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5056{{P{05056{R 808.899 STR{	./images/icone/icona-catalogazione.png{Il ragno volante{Strianese Maria{Letture per elementari{Raffaello{Ancona - 2002{Il mulino a vento - serie rossa{{19 x 13{{31{2010-01-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5057{{P{05057{R 808.899 FER{	./images/icone/icona-catalogazione.png{Ciao maestro{Ferraresso Luigi{Letture per elementari{Raffaello{Ancona - 2002{Il mulino a vento - serie blu{{19 x 13{{31{2010-01-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5058{{P{05058{R 808.899 MAR{	./images/icone/icona-catalogazione.png{Alto, forte, con i capelli un po' lunghi{Marini Ruben{Letture per elementari{Raffaello{Ancona - 1998{Il mulino a vento - serie blu{{19 x 13{{32{2010-01-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5059{{P{05059{R 808.899 OSS{	./images/icone/icona-catalogazione.png{Tante favole in rima{Ossorio Antonella{Letture per elementari{Raffaello{Ancona - 1998{Il mulino a vento - serie rossa - dai 7 anni{{19 x 13{{32{2010-01-22{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5060{{P{05060{R 808.899 RIM{	./images/icone/icona-catalogazione.png{Nel mondo rotondo{Rimei Alessandra{Letture per elementari{Raffaello{Ancona - 2007{Il mulino a vento - serie gialla{{21 x 15{{106{2010-01-24{N{{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5061{{P{05061{R 808.899 MOS{	./images/icone/icona-catalogazione.png{L'alfabeto incantato - filastrocche{Moschini Marco{Letture per elementari{Raffaello{Ancona - 2008{Il mulino a vento - serie gialla{{21 x 15{{121{2010-01-21{N{6.00{{N{{{N{{Italia{{N{Y{2018-11-10 15:33:43{2{{{{
5062{{P{05062{R 808.899 STR{	./images/icone/icona-catalogazione.png{Alla ricerca dei colori perduti{Strianese Maria{Letture per elementari{Raffaello{Ancona - 2009{Il mulino a vento - serie rossa - dai 7 anni{{21 x 15{{118{2010-01-24{N{7.00{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5063{{P{05063{R 808.899 LOC{	./images/icone/icona-catalogazione.png{La botticella perduta{Locatello Anna Maria - Vitillo Nicola{Letture per elementari{Raffaello{Ancona - 2008{Il mulino a vento - serie rossa - dai 7 anni{{21 x 15{{106{2010-01-24{N{7.00{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5064{{P{05064{R 808.899 VIT{	./images/icone/icona-catalogazione.png{L'Odissea{Vittori Nadia{Letture per elementari{Raffaello{Ancona - 2009{Il mulino a vento - Un tuffo nella storia{{21 x 15{{141{2010-01-24{N{7.00{{N{{{N{{Italia{{N{Y{2017-08-02 00:00:00{0{{{{
5065{{P{05065{R 808.899 FER{	./images/icone/icona-catalogazione.png{La banda dei Bix{Ferrarini Montanari Paola{Letture per elementari{Raffaello{Ancona - 2008{Il mulino a vento - serie blu{{21 x 15{{170{2010-01-24{N{7.00{{N{{{N{{Italia{{N{Y{2017-08-09 15:00:54{2{{{{
